Customer ID,Email,Age,Gender,Time on App (minutes),Time on Web (minutes),Membership,Favorite Product Base,Demography,Annual Income (K$),Spending Score
56,user56@srm.ac.in,73,Female,103,59,Yes,Groceries,Bangalore,100,25
57,user57@gmail.com,66,Female,33,10,Yes,Clothing,Mumbai,169,88
58,user58@hotmail.com,20,Female,66,155,No,Clothing,Coimbatore,246,86
59,user59@gmail.com,15,Female,132,134,No,Luxury & Beauty,Chennai,279,9
60,user60@srm.ac.in,65,Male,168,48,No,Books,Kanpur,275,29
61,user61@yahoo.com,51,Female,157,36,No,Groceries,Tiruppur,70,13
62,user62@kpriet.ac.in,42,Male,23,98,No,Luxury & Beauty,New Delhi,98,86
63,user63@srm.ac.in,13,Female,140,171,Yes,Luxury & Beauty,Salem,206,22
64,user64@yahoo.com,21,Male,8,14,Yes,Clothing,Mumbai,191,93
65,user65@srm.ac.in,39,Female,97,101,Yes,Electronics,Salem,90,22
66,user66@outlook.com,12,Male,86,168,Yes,Groceries,Chennai,82,6
67,user67@kpriet.ac.in,44,Female,38,70,No,Clothing,Tiruppur,123,54
68,user68@gmail.com,15,Female,104,141,No,Clothing,Tiruppur,244,66
69,user69@gmail.com,32,Male,150,164,No,Electronics,Coimbatore,232,14
70,user70@kpriet.ac.in,70,Male,112,17,No,Books,Tiruppur,23,42
71,user71@outlook.com,76,Male,98,157,Yes,Books,Chennai,145,42
72,user72@yahoo.com,66,Male,144,17,Yes,Groceries,Mumbai,262,72
73,user73@gmail.com,45,Female,179,174,No,Electronics,New Delhi,194,81
74,user74@outlook.com,33,Female,49,32,No,Electronics,Mumbai,166,25
75,user75@gmail.com,65,Female,125,172,Yes,Luxury & Beauty,Kanpur,278,80
76,user76@hotmail.com,72,Male,23,10,No,Electronics,Tiruppur,107,27
77,user77@yahoo.com,21,Male,9,,Yes,Groceries,New Delhi,63,70
78,user78@hotmail.com,70,Female,155,34,No,Electronics,Salem,156,51
79,user79@kpriet.ac.in,54,Female,22,111,Yes,Luxury & Beauty,Chennai,210,55
80,user80@yahoo.com,62,Male,8,118,Yes,Books,Salem,232,16
81,user81@outlook.com,52,Male,72,102,No,Electronics,Kanpur,204,30
82,user82@yahoo.com,51,Female,60,36,No,Electronics,Bangalore,145,28
83,user83@yahoo.com,23,Female,15,145,Yes,Groceries,Kanpur,97,14
84,user84@outlook.com,30,Female,20,69,No,Luxury & Beauty,Salem,291,46
85,user85@kpriet.ac.in,52,Female,106,126,No,Electronics,Kanpur,235,42
86,user86@yahoo.com,62,Female,134,44,No,Groceries,Salem,136,23
87,user87@kpriet.ac.in,73,Male,78,57,No,Luxury & Beauty,Chennai,90,2
88,user88@kpriet.ac.in,46,Male,165,180,No,Clothing,Coimbatore,239,52
89,user89@kpriet.ac.in,61,Female,133,166,Yes,Luxury & Beauty,Salem,231,84
90,user90@gmail.com,80,Female,111,7,No,Clothing,Salem,229,41
91,user91@srm.ac.in,14,Male,113,82,No,Clothing,Coimbatore,254,2
92,user92@kpriet.ac.in,68,Male,107,112,No,Luxury & Beauty,New Delhi,284,50
93,user93@outlook.com,21,Female,26,174,Yes,Luxury & Beauty,Mumbai,205,28
94,user94@srm.ac.in,50,Male,168,30,No,Groceries,Tiruppur,35,59
95,user95@kpriet.ac.in,42,Male,142,174,Yes,Luxury & Beauty,New Delhi,246,29
96,user96@outlook.com,51,Female,142,138,No,Books,Kanpur,94,9
97,user97@outlook.com,24,Female,162,74,Yes,Electronics,New Delhi,25,85
,,,,,,,,,,
99,user99@hotmail.com,75,Female,76,160,Yes,Clothing,Bangalore,55,84
100,user100@yahoo.com,10,Male,26,40,Yes,Clothing,Kanpur,63,80
101,user101@kpriet.ac.in,79,Male,84,112,No,Luxury & Beauty,Kanpur,193,48
102,user102@kpriet.ac.in,69,Female,25,31,No,Electronics,Bangalore,181,6
103,user103@srm.ac.in,62,Male,135,135,No,Electronics,Mumbai,225,9
104,user104@outlook.com,16,Female,57,163,Yes,Groceries,Bangalore,104,28
105,user105@kpriet.ac.in,34,Female,44,35,No,Groceries,Tiruppur,242,53
106,user106@yahoo.com,76,Female,142,77,Yes,Groceries,Coimbatore,51,39
107,user107@gmail.com,56,Female,88,34,No,Electronics,New Delhi,221,99
108,user108@outlook.com,73,Male,105,32,Yes,Clothing,Salem,38,77
109,user109@gmail.com,66,Female,155,132,No,Groceries,Mumbai,97,64
110,user110@yahoo.com,16,Male,167,55,No,Luxury & Beauty,Kanpur,49,14
111,user111@hotmail.com,36,Male,171,160,Yes,Groceries,Mumbai,286,92
112,user112@yahoo.com,44,Female,179,56,Yes,Luxury & Beauty,Chennai,171,69
113,user113@gmail.com,80,Female,169,72,No,Luxury & Beauty,Kanpur,234,73
114,user114@outlook.com,26,Male,21,138,No,Clothing,Coimbatore,225,22
115,user115@srm.ac.in,46,Female,84,56,No,Luxury & Beauty,Kanpur,175,33
116,user116@kpriet.ac.in,66,Female,116,96,Yes,Groceries,Bangalore,180,13
117,user117@yahoo.com,72,Female,66,109,No,Clothing,New Delhi,196,77
118,user118@outlook.com,25,Male,19,80,Yes,Clothing,Bangalore,24,42
,,,,,,,,,,
120,user120@hotmail.com,40,Male,27,15,No,Luxury & Beauty,Bangalore,290,90
121,user121@hotmail.com,30,Female,116,145,Yes,Groceries,Kanpur,95,50
122,user122@kpriet.ac.in,49,Female,34,132,Yes,Luxury & Beauty,Coimbatore,226,87
123,user123@hotmail.com,80,Female,121,58,Yes,Groceries,New Delhi,248,99
124,user124@outlook.com,11,Female,161,128,No,Books,Chennai,125,89
125,user125@yahoo.com,80,Male,160,89,Yes,Electronics,Coimbatore,298,18
126,user126@outlook.com,62,Male,19,65,Yes,Clothing,Coimbatore,246,43
127,user127@outlook.com,21,Female,84,5,Yes,Electronics,New Delhi,196,23
128,user128@kpriet.ac.in,38,Male,175,8,Yes,Books,New Delhi,227,82
129,user129@srm.ac.in,24,Male,173,176,No,Electronics,Tiruppur,121,98
130,user130@srm.ac.in,69,Male,49,27,Yes,Electronics,Chennai,174,89
131,user131@yahoo.com,25,Male,35,33,Yes,Books,Chennai,63,41
132,user132@kpriet.ac.in,29,Female,8,151,Yes,Electronics,Bangalore,38,86
133,user133@srm.ac.in,73,Female,40,176,Yes,Electronics,Coimbatore,295,62
134,user134@hotmail.com,47,Female,7,131,No,Books,Coimbatore,191,9
135,user135@srm.ac.in,75,Male,46,43,Yes,Books,New Delhi,219,43
136,user136@hotmail.com,44,Male,132,28,Yes,Clothing,Mumbai,84,3
137,user137@yahoo.com,63,Female,93,135,No,Groceries,Coimbatore,286,78
138,user138@outlook.com,71,Female,138,24,No,Groceries,Kanpur,296,75
139,user139@outlook.com,70,Male,137,30,No,Books,Bangalore,165,58
140,user140@srm.ac.in,41,Female,71,70,No,Groceries,New Delhi,129,49
141,user141@hotmail.com,68,Female,47,169,No,Luxury & Beauty,Tiruppur,67,66
142,user142@gmail.com,80,Female,100,64,No,Luxury & Beauty,Chennai,281,82
143,user143@gmail.com,28,Female,37,121,Yes,Luxury & Beauty,Mumbai,179,95
144,user144@gmail.com,59,Female,73,80,No,Clothing,Coimbatore,286,30
145,user145@outlook.com,34,Female,35,72,No,Groceries,New Delhi,194,65
146,user146@kpriet.ac.in,75,Male,12,123,Yes,Electronics,Mumbai,101,76
147,user147@outlook.com,27,Female,90,17,Yes,Books,Salem,31,91
148,user148@kpriet.ac.in,18,Female,114,30,Yes,Groceries,New Delhi,34,2
149,user149@hotmail.com,45,Male,74,49,No,Clothing,Kanpur,296,30
150,user150@srm.ac.in,63,Female,139,15,No,Electronics,Coimbatore,152,3
151,user151@gmail.com,53,Female,21,79,Yes,Books,New Delhi,143,79
152,user152@hotmail.com,74,Male,72,97,No,Electronics,Mumbai,175,98
153,user153@hotmail.com,44,Female,152,178,No,Books,Salem,236,16
154,user154@srm.ac.in,10,Female,165,85,Yes,Luxury & Beauty,Chennai,278,40
155,user155@hotmail.com,46,Male,24,114,No,Books,Coimbatore,76,31
156,user156@srm.ac.in,48,Male,132,34,Yes,Books,Bangalore,50,95
157,user157@yahoo.com,72,Female,121,29,No,Clothing,Chennai,210,55
158,user158@srm.ac.in,29,Male,135,16,No,Clothing,Bangalore,152,97
159,user159@gmail.com,67,Female,97,7,Yes,Clothing,Salem,279,32
160,user160@kpriet.ac.in,78,Male,19,40,Yes,Groceries,New Delhi,201,80
161,user161@kpriet.ac.in,71,Male,132,174,Yes,Luxury & Beauty,Bangalore,83,11
162,user162@gmail.com,54,Male,150,170,No,Luxury & Beauty,Salem,44,8
163,user163@kpriet.ac.in,52,Male,47,48,Yes,Books,Bangalore,83,18
164,user164@srm.ac.in,80,Male,99,89,No,Clothing,Chennai,249,48
165,user165@yahoo.com,79,Male,45,96,No,Luxury & Beauty,Coimbatore,172,64
166,user166@kpriet.ac.in,58,Female,70,117,No,Luxury & Beauty,Salem,22,38
167,user167@yahoo.com,68,Female,31,164,Yes,Books,Kanpur,252,26
168,user168@gmail.com,51,Female,151,73,No,Books,Salem,193,20
169,user169@yahoo.com,34,Male,177,28,Yes,Electronics,Chennai,140,49
170,user170@hotmail.com,40,Female,34,100,No,Electronics,Coimbatore,293,27
171,user171@outlook.com,59,Male,63,92,No,Books,Coimbatore,139,83
172,user172@hotmail.com,39,Female,135,51,No,Electronics,Mumbai,199,5
173,user173@gmail.com,62,Female,5,34,No,Luxury & Beauty,Tiruppur,173,31
174,user174@kpriet.ac.in,15,Male,16,107,Yes,Books,Bangalore,165,93
175,user175@kpriet.ac.in,50,Male,8,107,No,Books,Mumbai,91,77
176,user176@yahoo.com,70,Male,67,121,No,Clothing,Bangalore,213,57
177,user177@srm.ac.in,58,Female,16,74,Yes,Luxury & Beauty,Salem,286,95
178,user178@outlook.com,59,Female,125,103,No,Luxury & Beauty,Salem,146,43
179,user179@srm.ac.in,29,Female,98,127,No,Groceries,Coimbatore,73,18
180,user180@gmail.com,73,Female,103,112,No,Groceries,Coimbatore,187,36
181,user181@kpriet.ac.in,14,Male,43,171,No,Clothing,Salem,284,41
182,user182@yahoo.com,26,Female,50,47,No,Groceries,Mumbai,118,83
183,user183@kpriet.ac.in,74,Female,14,33,No,Electronics,Salem,204,98
184,user184@srm.ac.in,52,Female,146,38,Yes,Books,Bangalore,252,6
185,user185@srm.ac.in,22,Female,172,20,Yes,Electronics,Chennai,70,67
186,user186@outlook.com,66,Female,112,45,Yes,Luxury & Beauty,Bangalore,95,54
187,user187@outlook.com,22,Male,62,31,Yes,Groceries,Coimbatore,237,83
188,user188@yahoo.com,77,Male,87,111,No,Electronics,Salem,230,37
189,user189@outlook.com,68,Female,68,156,Yes,Luxury & Beauty,New Delhi,61,97
190,user190@srm.ac.in,11,Female,111,128,No,Groceries,Kanpur,67,4
191,user191@srm.ac.in,28,Male,86,150,No,Books,Salem,51,30
192,user192@gmail.com,62,Female,74,178,Yes,Books,Bangalore,237,94
193,user193@srm.ac.in,29,Female,24,117,Yes,Groceries,Mumbai,86,43
194,user194@yahoo.com,19,Male,151,51,Yes,Books,Tiruppur,263,44
195,user195@hotmail.com,70,Female,100,161,No,Clothing,Bangalore,129,32
196,user196@gmail.com,43,Female,35,102,Yes,Groceries,Tiruppur,248,27
197,user197@gmail.com,53,Female,133,96,Yes,Clothing,Tiruppur,59,70
198,user198@yahoo.com,60,Female,177,161,No,Groceries,Mumbai,209,7
199,user199@yahoo.com,20,Female,18,12,No,Clothing,Kanpur,289,86
200,user200@outlook.com,52,Female,50,180,Yes,Books,New Delhi,226,32
201,user201@gmail.com,78,Male,62,38,No,Books,Mumbai,285,88
202,user202@outlook.com,58,Female,137,128,No,Electronics,Mumbai,222,90
203,user203@srm.ac.in,50,Female,16,129,No,Luxury & Beauty,Bangalore,155,93
204,user204@gmail.com,72,Female,107,33,No,Clothing,Chennai,275,29
205,user205@gmail.com,79,Male,22,110,Yes,Groceries,New Delhi,236,78
206,user206@kpriet.ac.in,14,Female,124,117,No,Books,Salem,245,49
207,user207@hotmail.com,18,Male,77,16,Yes,Books,Coimbatore,270,67
208,user208@gmail.com,40,Female,84,21,Yes,Groceries,Salem,233,42
209,user209@srm.ac.in,46,Male,88,71,Yes,Luxury & Beauty,Bangalore,103,24
210,user210@outlook.com,39,Female,27,172,Yes,Groceries,New Delhi,93,57
211,user211@outlook.com,21,Female,146,85,No,Clothing,Salem,278,81
212,user212@kpriet.ac.in,65,Female,121,8,No,Clothing,Bangalore,85,1
213,user213@hotmail.com,22,Female,7,178,Yes,Electronics,Coimbatore,268,9
214,user214@srm.ac.in,22,Male,99,139,No,Groceries,Chennai,254,63
215,user215@outlook.com,66,Male,56,152,No,Books,Mumbai,86,9
216,user216@yahoo.com,31,Female,79,149,No,Electronics,Tiruppur,282,25
217,user217@srm.ac.in,48,Female,149,62,No,Groceries,Bangalore,290,7
218,user218@srm.ac.in,13,Male,82,176,No,Groceries,Bangalore,80,82
219,user219@hotmail.com,15,Male,164,91,No,Books,Tiruppur,128,19
220,user220@outlook.com,51,Male,67,137,No,Luxury & Beauty,Coimbatore,253,27
221,user221@srm.ac.in,17,Male,123,138,Yes,Groceries,Bangalore,262,17
222,user222@kpriet.ac.in,47,Male,99,163,No,Electronics,Tiruppur,36,12
223,user223@kpriet.ac.in,55,Male,156,29,Yes,Books,Bangalore,100,23
224,user224@outlook.com,57,Male,131,115,No,Clothing,Mumbai,209,76
225,user225@kpriet.ac.in,65,Male,55,174,Yes,Luxury & Beauty,Kanpur,80,71
226,user226@yahoo.com,28,Male,144,68,Yes,Books,Mumbai,229,27
227,user227@hotmail.com,41,Female,67,128,No,Electronics,Mumbai,76,31
228,user228@kpriet.ac.in,77,Female,43,93,No,Groceries,Chennai,81,65
229,user229@kpriet.ac.in,62,Female,6,174,No,Electronics,New Delhi,209,11
230,user230@yahoo.com,33,Male,109,178,No,Groceries,Kanpur,168,55
231,user231@hotmail.com,31,Male,11,169,No,Books,Chennai,40,93
232,user232@srm.ac.in,32,Male,64,103,Yes,Luxury & Beauty,Tiruppur,287,60
233,user233@hotmail.com,20,Male,143,43,No,Books,Mumbai,98,40
234,user234@gmail.com,58,Female,93,147,No,Electronics,Chennai,80,22
235,user235@outlook.com,40,Female,167,161,No,Electronics,Chennai,210,93
236,user236@outlook.com,73,Female,7,18,Yes,Clothing,New Delhi,176,26
237,user237@gmail.com,28,Male,90,7,Yes,Clothing,Mumbai,211,32
238,user238@yahoo.com,39,Female,5,169,No,Groceries,Coimbatore,175,55
239,user239@gmail.com,69,Female,173,45,No,Electronics,Chennai,170,23
240,user240@srm.ac.in,42,Female,101,134,No,Clothing,Mumbai,268,78
241,user241@srm.ac.in,68,Male,83,125,Yes,Clothing,Coimbatore,34,32
242,user242@outlook.com,42,Male,31,131,Yes,Books,Chennai,93,39
243,user243@srm.ac.in,11,Male,57,47,Yes,Groceries,Mumbai,92,37
244,user244@outlook.com,69,Male,140,24,No,Luxury & Beauty,Mumbai,235,74
245,user245@gmail.com,46,Male,65,130,Yes,Books,Tiruppur,44,58
246,user246@gmail.com,79,Female,112,87,No,Groceries,Tiruppur,176,82
247,user247@kpriet.ac.in,30,Male,130,66,No,Groceries,Bangalore,165,26
248,user248@kpriet.ac.in,19,Male,20,89,No,Books,Salem,130,35
249,user249@gmail.com,66,Female,41,76,No,Clothing,Chennai,113,62
250,user250@outlook.com,54,Female,76,17,No,Clothing,Mumbai,270,11
251,user251@gmail.com,48,Male,28,134,No,Luxury & Beauty,Bangalore,21,47
252,user252@gmail.com,64,Female,16,62,No,Luxury & Beauty,Coimbatore,82,51
253,user253@yahoo.com,42,Male,64,145,No,Groceries,Salem,300,49
254,user254@gmail.com,68,Male,138,169,No,Luxury & Beauty,Salem,198,22
255,user255@srm.ac.in,48,Female,110,101,No,Books,Bangalore,54,61
256,user256@outlook.com,35,Male,100,108,Yes,Luxury & Beauty,Tiruppur,42,57
257,user257@yahoo.com,59,Female,122,65,Yes,Electronics,Mumbai,233,55
258,user258@kpriet.ac.in,71,Female,26,25,Yes,Groceries,Mumbai,266,65
259,user259@hotmail.com,23,Female,153,122,Yes,Electronics,Chennai,178,79
260,user260@outlook.com,40,Female,29,118,Yes,Groceries,Tiruppur,251,95
261,user261@srm.ac.in,58,Male,134,151,No,Groceries,Tiruppur,192,56
262,user262@outlook.com,55,Female,39,119,Yes,Books,Coimbatore,213,98
263,user263@kpriet.ac.in,47,Female,168,27,Yes,Clothing,Bangalore,263,20
264,user264@srm.ac.in,47,Male,105,132,Yes,Luxury & Beauty,Chennai,87,62
265,user265@srm.ac.in,12,Male,24,119,No,Electronics,Mumbai,90,3
266,user266@hotmail.com,60,Female,156,85,Yes,Luxury & Beauty,Tiruppur,278,98
267,user267@outlook.com,45,Male,150,35,Yes,Groceries,New Delhi,255,49
268,user268@hotmail.com,11,Female,20,132,Yes,Electronics,Salem,250,55
269,user269@hotmail.com,16,Female,116,172,No,Electronics,Bangalore,249,11
270,user270@outlook.com,73,Male,174,9,Yes,Groceries,New Delhi,96,98
271,user271@gmail.com,46,Male,38,31,Yes,Luxury & Beauty,Mumbai,186,39
272,user272@gmail.com,39,Female,65,108,No,Electronics,Bangalore,65,77
273,user273@kpriet.ac.in,55,Female,79,110,Yes,Luxury & Beauty,Salem,229,69
274,user274@hotmail.com,38,Male,71,14,Yes,Electronics,Kanpur,218,20
275,user275@yahoo.com,34,Male,85,147,No,Clothing,Kanpur,139,71
276,user276@hotmail.com,42,Female,105,145,Yes,Books,Tiruppur,222,94
277,user277@hotmail.com,27,Female,88,5,Yes,Groceries,Tiruppur,193,23
278,user278@hotmail.com,22,Female,86,28,No,Books,Kanpur,296,33
279,user279@kpriet.ac.in,15,Male,120,159,No,Luxury & Beauty,Mumbai,43,49
280,user280@gmail.com,49,Female,74,163,Yes,Books,Salem,246,60
281,user281@kpriet.ac.in,66,Male,64,168,Yes,Books,Mumbai,162,40
282,user282@kpriet.ac.in,14,Male,24,82,No,Books,New Delhi,65,59
283,user283@kpriet.ac.in,56,Male,56,135,No,Books,Mumbai,104,37
284,user284@gmail.com,26,Female,39,148,Yes,Groceries,Bangalore,32,49
285,user285@gmail.com,21,Female,154,57,Yes,Clothing,New Delhi,178,72
286,user286@hotmail.com,47,Male,32,172,Yes,Clothing,Salem,83,78
287,user287@kpriet.ac.in,51,Male,44,176,Yes,Books,Coimbatore,63,62
288,user288@yahoo.com,63,Female,32,121,Yes,Clothing,Chennai,118,10
289,user289@gmail.com,32,Female,47,92,No,Clothing,Mumbai,297,43
290,user290@outlook.com,35,Male,120,98,No,Groceries,Salem,47,18
291,user291@outlook.com,26,Female,124,18,No,Books,New Delhi,287,92
,,,,,,,,,,
293,user293@srm.ac.in,56,Female,109,121,No,Books,Kanpur,263,26
294,user294@hotmail.com,77,Female,35,89,No,Clothing,Coimbatore,277,20
,,,,,,,,,,
296,user296@hotmail.com,44,Female,96,163,Yes,Clothing,Coimbatore,81,1
297,user297@outlook.com,31,Female,58,158,No,Clothing,New Delhi,292,2
298,user298@yahoo.com,42,Male,120,126,No,Electronics,Tiruppur,112,65
299,user299@hotmail.com,71,Male,83,173,No,Electronics,Kanpur,29,94
300,user300@outlook.com,47,Male,123,98,No,Electronics,Coimbatore,160,93
301,user301@gmail.com,53,Female,72,120,No,Clothing,Kanpur,125,48
302,user302@hotmail.com,24,Female,35,34,Yes,Books,Tiruppur,145,63
303,user303@srm.ac.in,69,Male,28,29,Yes,Books,Mumbai,247,52
304,user304@gmail.com,19,Female,45,173,No,Clothing,New Delhi,63,54
305,user305@gmail.com,28,Female,180,61,No,Electronics,Salem,293,51
306,user306@kpriet.ac.in,38,Male,82,5,No,Clothing,Bangalore,184,96
307,user307@srm.ac.in,60,Female,159,92,No,Books,Chennai,225,48
308,user308@gmail.com,56,Female,15,95,No,Books,New Delhi,43,50
309,user309@gmail.com,21,Male,60,167,Yes,Groceries,Mumbai,271,63
310,user310@outlook.com,60,Male,88,79,No,Books,Kanpur,31,40
311,user311@outlook.com,11,Male,42,145,Yes,Groceries,New Delhi,194,83
312,user312@hotmail.com,43,Female,28,138,Yes,Clothing,Mumbai,243,76
313,user313@hotmail.com,78,Male,68,100,Yes,Books,Mumbai,112,10
314,user314@hotmail.com,25,Female,96,32,No,Groceries,Bangalore,232,53
315,user315@outlook.com,68,Female,106,16,No,Books,Kanpur,32,5
316,user316@hotmail.com,57,Female,136,47,No,Groceries,Kanpur,290,16
317,user317@gmail.com,43,Female,17,131,Yes,Books,Mumbai,182,50
318,user318@outlook.com,58,Male,178,40,No,Books,Bangalore,215,73
319,user319@hotmail.com,57,Male,81,109,No,Luxury & Beauty,Mumbai,151,21
320,user320@gmail.com,23,Male,71,32,No,Clothing,Salem,66,25
321,user321@hotmail.com,39,Female,49,70,Yes,Clothing,Tiruppur,78,98
322,user322@yahoo.com,70,Female,12,161,No,Books,Salem,70,56
323,user323@hotmail.com,13,Male,108,55,No,Groceries,Tiruppur,297,33
324,user324@yahoo.com,51,Male,120,53,Yes,Electronics,Kanpur,106,99
325,user325@hotmail.com,38,Male,147,35,Yes,Groceries,Mumbai,166,97
326,user326@kpriet.ac.in,18,Male,145,105,No,Books,Tiruppur,93,93
327,user327@kpriet.ac.in,69,Male,68,60,Yes,Clothing,Kanpur,113,45
328,user328@srm.ac.in,48,Male,29,122,No,Groceries,New Delhi,150,66
329,user329@kpriet.ac.in,62,Female,123,53,No,Luxury & Beauty,Coimbatore,65,91
330,user330@kpriet.ac.in,24,Female,31,91,No,Books,Coimbatore,98,63
331,user331@hotmail.com,27,Male,40,32,Yes,Groceries,Kanpur,177,82
332,user332@outlook.com,15,Male,36,111,Yes,Groceries,Salem,228,89
333,user333@outlook.com,14,Female,8,16,No,Luxury & Beauty,New Delhi,106,48
334,user334@yahoo.com,48,Male,20,167,No,Electronics,Kanpur,50,90
335,user335@outlook.com,73,Female,61,177,Yes,Electronics,New Delhi,186,8
336,user336@gmail.com,24,Male,38,155,No,Groceries,Coimbatore,112,84
337,user337@srm.ac.in,22,Female,55,36,Yes,Books,Bangalore,33,50
338,user338@kpriet.ac.in,40,Male,107,120,No,Luxury & Beauty,New Delhi,49,55
339,user339@srm.ac.in,78,Female,100,122,Yes,Electronics,Mumbai,172,95
340,user340@gmail.com,27,Female,180,173,No,Groceries,Mumbai,219,32
,,,,,,,,,,
342,user342@yahoo.com,68,Female,170,134,No,Electronics,New Delhi,183,62
343,user343@gmail.com,57,Female,26,39,No,Clothing,New Delhi,92,5
344,user344@gmail.com,79,Male,154,132,Yes,Groceries,Tiruppur,231,47
345,user345@srm.ac.in,63,Female,155,6,Yes,Luxury & Beauty,Bangalore,185,81
346,user346@hotmail.com,29,Female,71,140,Yes,Books,Chennai,152,91
347,user347@srm.ac.in,63,Male,24,17,Yes,Groceries,Mumbai,212,87
348,user348@srm.ac.in,22,Male,10,146,No,Electronics,Chennai,81,4
349,user349@outlook.com,72,Male,21,115,Yes,Groceries,Mumbai,46,90
350,user350@gmail.com,62,Male,55,154,No,Groceries,New Delhi,123,86
351,user351@srm.ac.in,45,Female,170,128,No,Electronics,Chennai,142,83
352,user352@gmail.com,14,Female,118,135,No,Clothing,Bangalore,141,19
353,user353@outlook.com,57,Male,37,50,No,Books,Kanpur,272,34
354,user354@gmail.com,37,Male,28,153,Yes,Electronics,Salem,280,78
